,大概广电局也不知道该从哪里剪
,看过以后曾经有一段时间经常怀疑自己在做梦
,真的是非常好看。
,nolan的片一定要有痴情男死老婆么。。我觉得这片真的一般，部分情节拖沓，nolan的片总是看似很高科技，等琢磨清楚了觉得bug也挺多。小李为什么发育成了这样。
,特效、脑洞真的让人瞠目结舌，太高级了，晕眩
,创意很棒，就知道这是个大套套小套的故事，和诺兰早期那个短片《Doodlebug》一样。抛开创意，其实本质很简单，就是《Doodlebug》的2010升级版，加入了《骗中骗》《穆赫兰道》《禁闭岛》等修改补丁。不过如果是“老婆回到真实世界，小李自始至终还在梦中？”的话我就喜欢这片子了
,一花一世界，一个陀螺引发的颠覆世界观
,要论脑洞 我最服的就是这一部了 经典之作 诺兰真不是一般人可超越！
,牛！不停换景那里晕眩啊，陀螺转转转～
,超精彩的电影，无论是故事的叙事技巧，拍摄手法，还是视觉感官体验都好棒！很吸引人的题材，让人眼前一亮。
山东,没有那么烧脑……这个top9的位置多少有点夸张了……
,太久远记不太清剧情了，不过确实很有意思。经常幻想如果我现在所经历的一切都是梦境怎么办哈哈哈哈
,梦境与现实，亦真亦幻，用异想天开的想象力考验着我们的判断能力。
,诺兰的电影逻辑性特别强，特别好看，演员选的也好
,剧情简直碉堡，编剧太神了!导演叙事手法运用的如火纯情，使得剧情跌宕起伏，连最后的结局都设置了悬疑。看完后还一直在自己脑海里回忆剧情，给自己解惑
,看到最后感觉自己都出现幻觉了
,太值五星了，我看第二遍才懂开头，情节，画面，人物，剧情，无可挑剔，唯一可惜的是人物塑造上有点不够。
,那个梦中有梦真的是令人诧异。电影好看又烧脑
,跟莉莉在南京看的，很好懂啊，有什么可分析的
,观影全程紧跟剧情，既使这样看到结局，我都没看明白是在梦境中还是在现实中。烧脑呀，真是烧脑。
,很精彩很烧脑！酷！！！
,潜意识层层武装保护的也许只是儿时的风车，能够治愈内心的只有自己
,记得上次看还是高中老师在教室里放，一晃眼已经十多年过去了。好希望我能醒来，发现这不过只是高中课间十分钟时间我打的一个小盹。
,没什么看不懂的
,故事和概念很牛，逻辑关系也很严谨。虽然场面不够大片。
,在裆国看到一刀不剪的大荧幕盗梦空间，你还要什么自行车啊，还不跪谢郭嘉。
,纵向叙事的一次伟大实验
,层层叠叠的梦境让人分不清现实与梦幻，看完让我甚至开始怀疑自己到底是处于现实还是仍旧在做梦。实在是太烧脑了！！！
,依旧对诺兰不感冒，没有什么新鲜的，关键是没有观点，爱情重要？梦境重要？真实重要？看不到清晰的观点，结果便不那么重要，于是到底是真是假也失去了意义。
,人在梦境里会放下所有的心防。
,（9/10）确实是个挺精彩的故事，感觉作品是在借鉴今敏的《盗梦侦探（红辣椒）》（有点想重看今敏这片了）。从最后陀螺减速并摇晃、孩子露出正脸、造梦者（岳父）回归、主角手上没有戴戒指、齐藤醒过来等细节来看，主角应该是回到了现实中，而不是掉进了下一层梦里。
,真的是，从蝙蝠侠开始，他的电影每一个点都跟我不在一个空间，每一个脑电波都不在一个波长。还老拍得那么长，每次看丫电影我不是睡着就是呕半天气⋯⋯
,看不懂
,"惊叹于诺兰缜密的逻辑.奇谲的拍摄手法和大胆的情节架构.跟着导演对梦境抽丝剥茧层层剖析,一个关于“梦的解析”关于“爱的延续”的伟大构想拔地而起,成就一座堂皇的迷宫让观众目眩神迷"
,庄周梦蝶而已，之上只有好莱坞，不如期望。说来Nolan不知道是不是中国哲学的爱好者，他的精湛短片doodlebug虽然只有三分钟，但比这片子的哲理丰富多了。
,很好
,特效很好，剧情满分，还有莱昂纳多的颜……
,影院效果有加分。
,"for(;;){
     for(;;){
          for(;;){
          }
     }
}"
,只可惜当年年纪小，没有看懂，现在后悔没有去电影院看。Inception就好象是玄幻小说，你必须接受它里面的无数天马行空的设定；但是它是最好的玄幻小说，因为在它的设定下情节无懈可击。所以首先要解释片中提到的所有设定
,梦境与现实…当他们交织在一起还有谁能分得清…
,就喜欢看这种看一遍看不懂的电影，还有演员都好帅……
,感觉需要多看几遍才能看懂。
,第一部去IMAX二刷的电影，很烧脑，超好看
